Experiment,Model,Acc_mean,Acc_std,Prec_mean,Prec_std,Rec_mean,Rec_std,F1_mean,F1_std,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std
A3_Struct+all_MiniLM_L6_v2,Stack,0.7983790284857089,0.011496728658822555,0.6417543696478305,0.026695685674236243,0.5446559905951169,0.026323245936513296,0.5890034510441025,0.024187642428367743,0.841538562762101,0.014291220720224025,0.6517656024126636,0.023006346408034554,0.45949566165115235,0.031238972775945024
A4_Full+all_MiniLM_L6_v2,LR,0.74840161058778,0.009764845634961428,0.5171895975759834,0.012352321295359799,0.7881134320654901,0.01391838882163733,0.6244767658392107,0.012074173107840766,0.84477502815867,0.01278296742646899,0.6620378037622181,0.01813411721240564,0.4698441394886094,0.01846580342959837
A4_Full+all_MiniLM_L6_v2,RF,0.7530867918897994,0.007863167685625049,0.5232791925516616,0.010228521018107447,0.7832919958136801,0.015449223442457817,0.6273805262999586,0.011430988423409975,0.8390721067728812,0.012016935324228643,0.6434508871813709,0.02513966012162409,0.47417308184913753,0.01729571608579196
A4_Full+all_MiniLM_L6_v2,XGB,0.7530866910768437,0.010325143171380849,0.5238807932618993,0.013710580074483768,0.7693825178133648,0.015282074650255308,0.623249350443305,0.013059181234829693,0.8369939036101792,0.01109958446008536,0.6413417478870549,0.021201771413291878,0.46777249599809545,0.019720350170150187
A4_Full+all_MiniLM_L6_v2,MLP,0.7971017283373121,0.007141221387648512,0.6459957795887089,0.02340196690604906,0.5243437370073548,0.026065694758548957,0.5781063360233323,0.015479057196993825,0.8371986667514515,0.009920671351730885,0.650195816830432,0.014390976890024736,0.4512176928703475,0.017876334684597577
A4_Full+all_MiniLM_L6_v2,LGBM,0.758340356635912,0.010741391731138507,0.5316935491634355,0.014555722260583123,0.7538744964229904,0.019486826355554866,0.6234848452392487,0.014748305314272223,0.8354903600720155,0.010207722678785653,0.6396278574079114,0.01843404545321166,0.46839191491182686,0.022221709899939015
A4_Full+all_MiniLM_L6_v2,Stack,0.8009340320343247,0.01318776942703062,0.645697434505351,0.03160589333409617,0.5553626471305071,0.01965654840884799,0.5970294680797981,0.023973693819636127,0.8443069280032877,0.01294937132330158,0.6609717615049762,0.018217096616665946,0.4682479874765203,0.03366951012608652
A3_Struct+all_mpnet_base_v2,LR,0.7441414567068844,0.009873980076801932,0.5116230810442117,0.012087504265391284,0.7950538343536294,0.02401741590816778,0.6224898203835829,0.014336293833689699,0.841572138272882,0.012898036648922431,0.6525956530392659,0.01883460219538686,0.4672248874658339,0.022028062059472747
A3_Struct+all_mpnet_base_v2,RF,0.7451353716368798,0.01012185459191306,0.5130924394729759,0.01291137040270351,0.7806138980086306,0.016744845970962995,0.6191642351980892,0.014081006471602452,0.8380036689636627,0.012278169107731211,0.638702551010897,0.026701091606703968,0.4616213781610402,0.02146587881364622
A3_Struct+all_mpnet_base_v2,XGB,0.7484019130266468,0.009540006468350473,0.51736024181895,0.012483190348830076,0.7838267551719689,0.016987536494500438,0.6231812877099349,0.011332771148674058,0.8379579036560866,0.011419657925442894,0.6378549073964621,0.024455473527599983,0.4678771851942888,0.017159942467834897
A3_Struct+all_mpnet_base_v2,MLP,0.7908521315891348,0.013531567801245167,0.6358714533939349,0.038979608364609744,0.5024028329342949,0.009509520007960586,0.5608072132963929,0.017809460926003877,0.8322379334790144,0.019873733958874786,0.6272581314910424,0.030891110853898233,0.4314580662427579,0.03071945439820196
A3_Struct+all_mpnet_base_v2,LGBM,0.7535131298793472,0.009221400818555932,0.5245112585202575,0.012447138331677286,0.7656306002781322,0.018774375723689535,0.6224457153026006,0.012902103660192678,0.8366495077313786,0.010452982218496082,0.6438351702033822,0.019093305509228543,0.4666419740700585,0.019243533628283762
A3_Struct+all_mpnet_base_v2,Stack,0.7963906945609395,0.015507161485609227,0.6333575319770934,0.03502518396710045,0.5542974294275351,0.026342227066112795,0.5910814719121226,0.02929641563498142,0.8418192179466761,0.013483523275847533,0.6530954274075841,0.022288361151850494,0.4582157403252446,0.040085552479734096
